symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
WETUSDT,SHORT,1766048182693,False,False,no_trigger,0.00014842667722146373,False,False,False,,,,,,,,,,
WETUSDT,SHORT,1765852761378,True,False,no_trigger,-0.01125802433649525,False,False,False,,,,,,,,,,
STABLEUSDT,SHORT,1765819600962,False,False,no_trigger,-0.030748663101604186,False,False,False,,,,,,,,,,
WETUSDT,SHORT,1765692438712,True,False,no_trigger,-0.02195795914339292,False,False,False,,,,,,,,,,
STABLEUSDT,LONG,1765527756412,False,False,no_trigger,0.010796221322537141,False,True,False,,,,,,,,,,
STABLEUSDT,SHORT,1765467082839,False,False,no_trigger,-0.02044497895369814,False,True,True,,,,,,,,,,
STABLEUSDT,SHORT,1765427058108,False,False,no_trigger,-0.004407713498622601,False,False,False,,,,,,,,,,
STABLEUSDT,LONG,1765339961914,False,False,no_trigger,0.011111111111111238,False,False,False,,,,,,,,,,
STABLEUSDT,LONG,1765295203571,False,False,no_trigger,-0.014681892332789527,False,False,False,,,,,,,,,,
币安人生USDT,LONG,1764865728934,False,False,no_trigger,0.0010553661308654418,False,False,False,,,,,,,,,,
ZEREBROUSDT,LONG,1764727372293,False,False,no_trigger,0.024655121808042073,False,False,False,,,,,,,,,,
ZEREBROUSDT,LONG,1764593934640,False,True,ok,0.058823529411764795,,,,0.02664,True,0.02808,0.02808,1764594000000.0,1764594000000.0,stop,0.0,0.0014400000000000003,0.02664
ZEREBROUSDT,LONG,1764339400990,False,False,no_trigger,0.0,False,False,False,,,,,,,,,,
ZEREBROUSDT,LONG,1764266761085,False,False,no_trigger,0.0,False,False,False,,,,,,,,,,
MONUSDT,SHORT,1764218960563,False,False,no_trigger,-0.009636934110264452,False,True,False,,,,,,,,,,
RVVUSDT,LONG,1764148251251,False,True,ok,0.06824435883324159,,,,0.007359,True,0.007764,0.007764,1764148500000.0,1764150300000.0,stop,0.0,0.000405,0.007359
ZEREBROUSDT,LONG,1764123788911,False,False,no_trigger,0.01601642710472285,False,False,True,,,,,,,,,,
ZECUSDT,LONG,1764081801046,False,False,no_trigger,-0.010470790445897646,False,False,False,,,,,,,,,,
MONUSDT,LONG,1764076844398,False,False,no_trigger,0.0198019801980199,False,False,False,,,,,,,,,,
MONUSDT,LONG,1764068854742,False,False,no_trigger,-0.026878771256171195,False,False,False,,,,,,,,,,
MONUSDT,SHORT,1764022235979,False,False,no_trigger,-0.030646992054483475,False,False,False,,,,,,,,,,
ZEREBROUSDT,LONG,1763991706922,False,False,no_trigger,0.0038395904436859985,False,False,False,,,,,,,,,,
ZECUSDT,LONG,1763776006318,False,False,no_trigger,0.0213666371997668,False,False,False,,,,,,,,,,
