"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"WETUSDT","Cross","Short","0.20106900","0.22096800","323294.00000000","323294.00000000","-6433.28609835","2025-12-18 08:56:22.693","2025-12-18 17:02:47.799","Closed"
"WETUSDT","Cross","Short","0.20706500","0.21173500","267421.00000000","267421.00000000","-1248.79026695","2025-12-16 02:39:21.378","2025-12-16 06:58:24.201","Closed"
"STABLEUSDT","Cross","Short","0.01437085","0.01153400","4671148.00000000","4671148.00000000","13252.70659953","2025-12-15 17:26:40.962","2025-12-17 22:30:18.548","Closed"
"WETUSDT","Cross","Short","0.19784953","0.24261000","289850.00000000","289850.00000000","-12973.95753786","2025-12-14 06:07:18.712","2025-12-15 07:00:09.067","Closed"
"STABLEUSDT","Cross","Long","0.01519494","0.01569000","4833359.00000000","4833359.00000000","2390.69716911","2025-12-12 08:22:36.412","2025-12-13 05:57:02.296","Closed"
"STABLEUSDT","Cross","Short","0.01628800","0.01388000","3365050.00000000","3365050.00000000","8101.32545937","2025-12-11 15:31:22.839","2025-12-11 17:43:50.509","Closed"
"STABLEUSDT","Cross","Short","0.01819000","0.01700600","3014139.00000000","3014139.00000000","3567.34895905","2025-12-11 04:24:18.108","2025-12-11 15:26:36.242","Closed"
"STABLEUSDT","Cross","Long","0.02037800","0.01977000","4960044.00000000","4960044.00000000","-3014.39130861","2025-12-10 04:12:41.914","2025-12-10 18:28:59.887","Closed"
"STABLEUSDT","Cross","Long","0.01890238","0.01750200","5261133.00000000","5261133.00000000","-7365.43836587","2025-12-09 15:46:43.571","2025-12-10 01:50:31.646","Closed"
"币安人生USDT","Cross","Long","0.12182120","0.11919400","620060.00000000","620060.00000000","-1629.26312897","2025-12-04 16:28:48.934","2025-12-06 10:49:47.276","Closed"
"ZEREBROUSDT","Cross","Long","0.03491225","0.03798500","925114.00000000","925114.00000000","2843.09379940","2025-12-03 02:02:52.293","2025-12-04 02:24:38.712","Closed"
"ZEREBROUSDT","Cross","Long","0.02928841","0.03128300","1437759.00000000","1437759.00000000","2867.88693873","2025-12-01 12:58:54.640","2025-12-02 16:19:12.310","Closed"
"ZEREBROUSDT","Cross","Long","0.02550062","0.02415700","1546421.00000000","1546421.00000000","-2078.17358991","2025-11-28 14:16:40.990","2025-11-29 06:36:05.100","Closed"
"ZEREBROUSDT","Cross","Long","0.02551364","0.02476000","1258036.00000000","1258036.00000000","-947.93267945","2025-11-27 18:06:01.085","2025-11-28 02:23:31.337","Closed"
"MONUSDT","Cross","Short","0.04400822","0.03650200","3033166.00000000","3033166.00000000","22766.44063885","2025-11-27 04:49:20.563","2025-11-28 14:45:39.674","Closed"
"RVVUSDT","Cross","Long","0.00782299","0.00596900","5107193.00000000","5107193.00000000","-9469.84463233","2025-11-26 09:10:51.251","2025-11-27 04:44:42.360","Closed"
"ZEREBROUSDT","Cross","Long","0.02460516","0.02442900","1637079.00000000","1637079.00000000","-287.98311044","2025-11-26 02:23:08.911","2025-11-27 15:08:19.812","Closed"
"ZECUSDT","Cross","Long","495.84257143","514.19000000","0.07000000","0.07000000","1.28431999","2025-11-25 14:43:21.046","2025-11-27 09:39:15.993","Closed"
"MONUSDT","Cross","Long","0.03872900","0.04463900","2580645.00000000","2580645.00000000","15252.17027883","2025-11-25 13:20:44.398","2025-11-25 18:07:07.532","Closed"
"MONUSDT","Cross","Long","0.03589000","0.03814900","1393617.00000000","1393617.00000000","3147.78109000","2025-11-25 11:07:34.742","2025-11-25 13:14:33.941","Closed"
"MONUSDT","Cross","Short","0.03437003","0.03626000","1175562.00000000","1175562.00000000","-2221.77485953","2025-11-24 22:10:35.979","2025-11-25 11:03:15.111","Closed"
"ZEREBROUSDT","Cross","Long","0.02395806","0.02464100","1203044.00000000","1203044.00000000","821.54732775","2025-11-24 13:41:46.922","2025-11-25 04:11:11.336","Closed"
"ZECUSDT","Cross","Long","536.54000000","573.94000000","0.02100000","0.02100000","0.78540000","2025-11-22 01:46:46.318","2025-11-23 10:50:44.654","Closed"
"ASTERUSDT","Cross","Long","1.21025900","1.21200000","208625.00000000","208625.00000000","363.19350009","2025-11-21 14:55:43.026","2025-11-21 23:22:48.385","Closed"
"ZECUSDT","Cross","Short","611.26729900","626.52748500","508.87500000","508.87500000","-7765.52715892","2025-11-21 11:35:31.393","2025-11-21 12:39:18.261","Closed"
"SOLUSDT","Cross","Long","127.37911392","127.96620300","0.79000000","0.79000000","0.46380000","2025-11-21 07:59:35.323","2025-11-23 10:51:07.418","Closed"
"SOLUSDT","Cross","Long","127.37911392","126.35000000","0.79000000","0.41000000","-0.42193670","2025-11-21 07:59:35.323",,"Partially Closed"
"NTRNUSDT","Cross","Long","0.05111000","0.04461200","489141.00000000","489141.00000000","-3178.53125000","2025-11-20 10:11:57.447","2025-11-20 10:29:57.408","Closed"
"ETHUSDT","Cross","Long","3029.05320300","2845.00622200","200.00000000","200.00000000","-36809.39634972","2025-11-20 04:55:27.241","2025-11-20 17:05:03.810","Closed"
"ZECUSDT","Cross","Short","611.48000000","577.06941100","335.25600000","335.25600000","11536.35647000","2025-11-18 05:41:38.258","2025-11-18 12:44:23.233","Closed"
"SOLUSDT","Cross","Long","136.20000000","134.03000000","0.10000000","0.10000000","-0.21700000","2025-11-18 05:38:32.173","2025-11-19 16:39:06.867","Closed"
"HYPEUSDT","Cross","Long","41.51400000","37.21302000","1.01000000","1.01000000","-4.34399000","2025-11-18 05:21:28.449","2025-11-19 16:38:11.371","Closed"
"UNIUSDT","Cross","Long","8.78414500","8.35644000","35204.00000000","35204.00000000","-15056.94799833","2025-11-12 11:15:40.433","2025-11-12 12:30:41.303","Closed"
"UNIUSDT","Cross","Long","9.69103643","8.57250000","35438.00000000","35438.00000000","-39638.69399977","2025-11-11 01:25:45.788","2025-11-12 10:33:13.639","Closed"
"MONUSDT","Cross","Short","0.05217224","0.05396600","781713.00000000","781713.00000000","-1402.03950736","2025-11-10 16:34:44.921","2025-11-11 01:26:48.014","Closed"
"MONUSDT","Cross","Long","0.06319000","0.05385600","1266023.00000000","1266023.00000000","-11816.22929818","2025-11-10 13:31:02.264","2025-11-10 14:15:48.368","Closed"
"GIGGLEUSDT","Cross","Long","177.31806500","159.45990600","1058.27000000","1058.27000000","-18898.75469718","2025-11-10 05:15:34.873","2025-11-10 13:28:27.063","Closed"
"AIAUSDT","Cross","Short","5.87953000","3.99888800","8329.00000000","8329.00000000","15663.86439863","2025-11-10 03:37:59.350","2025-11-10 04:13:08.629","Closed"
"GIGGLEUSDT","Cross","Long","165.43563196","158.60663000","1114.87000000","1114.87000000","-7613.44889689","2025-11-09 23:34:04.921","2025-11-10 02:42:39.183","Closed"
"ACTUSDT","Cross","Long","0.02526700","0.02252000","1814456.00000000","1814456.00000000","-4984.91337973","2025-11-09 15:55:09.886","2025-11-09 17:08:00.599","Closed"
"ASTERUSDT","Cross","Long","1.12827078","1.13144900","83680.00000000","83680.00000000","265.95819973","2025-11-09 15:44:58.065","2025-11-10 02:42:04.297","Closed"
"XPLUSDT","Cross","Long","0.31517719","0.31565000","666014.00000000","666014.00000000","314.89869861","2025-11-09 15:44:45.824","2025-11-10 02:42:13.866","Closed"
"GIGGLEUSDT","Cross","Long","169.67144700","184.84204500","1239.88000000","1239.88000000","18809.72149565","2025-11-09 09:22:59.399","2025-11-09 14:31:50.662","Closed"
"ZECUSDT","Cross","Long","566.51000000","572.73656300","0.06400000","0.06400000","0.39850000","2025-11-09 06:20:48.967","2025-11-09 07:01:25.632","Closed"
"ZECUSDT","Cross","Long","519.56620700","592.64000000","0.08700000","0.08700000","6.35741998","2025-11-08 15:44:27.934","2025-11-08 17:51:01.120","Closed"
"AIAUSDT","Cross","Short","5.62866459","3.41883400","10446.00000000","10446.00000000","23083.89329697","2025-11-08 11:59:00.672","2025-11-09 12:51:48.375","Closed"
"AIAUSDT","Cross","Short","6.79190000","5.97715600","7348.00000000","7348.00000000","5986.74245000","2025-11-08 08:18:46.059","2025-11-08 10:06:17.247","Closed"
"0GUSDT","Cross","Long","1.62082993","1.38349300","122924.00000000","51446.00000000","-11548.93649426","2025-11-08 06:27:08.369",,"Partially Closed"
"0GUSDT","Cross","Long","1.60797900","1.38349300","122924.00000000","51446.00000000","-11548.93649426","2025-11-08 06:27:08.369",,"Partially Closed"
"0GUSDT","Cross","Long","1.62082993","1.49312600","122924.00000000","174183.00000000","-22243.83819277","2025-11-08 06:27:08.369","2025-11-10 13:28:19.490","Closed"
"UAIUSDT","Cross","Short","0.18388900","0.15939600","52202.00000000","52202.00000000","1278.62779918","2025-11-08 03:58:44.039","2025-11-08 06:43:42.695","Closed"
"AIAUSDT","Cross","Short","7.24460000","7.25407500","6890.00000000","6890.00000000","-65.28139971","2025-11-08 03:19:55.835","2025-11-08 07:17:33.082","Closed"
"ICPUSDT","Cross","Long","8.94695900","8.94218000","22695.00000000","22695.00000000","-108.44699982","2025-11-08 02:21:30.659","2025-11-08 03:20:05.469","Closed"
"XPLUSDT","Cross","Long","0.34325500","0.32640000","639669.00000000","639669.00000000","-10781.85179983","2025-11-08 02:18:35.930","2025-11-08 03:43:58.340","Closed"
"XPLUSDT","Cross","Long","0.30780000","0.30460200","333032.00000000","333032.00000000","-1065.17430000","2025-11-07 15:35:07.929","2025-11-07 16:35:44.507","Closed"
"AIAUSDT","Cross","Long","9.77807800","9.65006000","4907.00000000","4907.00000000","-628.18339934","2025-11-07 15:34:21.605","2025-11-07 16:18:01.263","Closed"
"GIGGLEUSDT","Cross","Short","146.68207900","162.73000000","850.22000000","850.22000000","-13644.26339997","2025-11-07 12:34:02.924","2025-11-07 15:19:16.739","Closed"
"GIGGLEUSDT","Cross","Long","159.80000000","146.56000000","782.22000000","782.22000000","-10356.59280000","2025-11-07 10:25:30.307","2025-11-07 12:29:16.373","Closed"
"GIGGLEUSDT","Cross","Long","170.20000000","172.50172500","734.43000000","734.43000000","1690.45560000","2025-11-07 06:33:47.266","2025-11-07 10:16:58.901","Closed"
"SAPIENUSDT","Cross","Short","0.36914200","0.33488000","84350.00000000","84350.00000000","2890.00344997","2025-11-07 05:01:54.736","2025-11-07 06:10:59.397","Closed"
"ZEREBROUSDT","Cross","Long","0.04693000","0.03262400","266354.00000000","266354.00000000","-3810.54825000","2025-11-06 14:42:46.256","2025-11-12 12:30:44.372","Closed"
"STABLEUSDT","Cross","Long","0.04661800","0.04770400","1271517.00000000","1271517.00000000","1380.54956759","2025-11-06 14:32:21.286","2025-11-06 15:18:23.360","Closed"
"STABLEUSDT","Cross","Short","0.06746400","0.05296500","885851.00000000","885851.00000000","12843.35039982","2025-11-06 12:06:56.911","2025-11-06 12:19:42.058","Closed"
"GIGGLEUSDT","Cross","Long","239.30458400","231.81000000","634.62000000","634.62000000","-4756.21289971","2025-11-06 10:16:09.246","2025-11-06 11:40:00.365","Closed"
"币安人生USDT","Cross","Long","0.15129900","0.16133600","413086.00000000","413086.00000000","4146.07208742","2025-11-05 13:15:25.702","2025-11-05 16:28:59.551","Closed"
"BTCUSDT","Cross","Long","101839.80000000","89490.70000000","0.00100000","0.00100000","-12.34910000","2025-11-05 07:19:53.979","2025-11-19 16:38:11.450","Closed"
"GIGGLEUSDT","Cross","Long","115.02652856","212.73288000","891.07000000","891.07000000","87063.19819709","2025-11-05 06:08:23.154","2025-11-06 08:52:56.736","Closed"
"MMTUSDT","Cross","Short","1.60709700","1.35397000","36817.00000000","36817.00000000","9319.38889906","2025-11-05 02:55:51.911","2025-11-05 05:55:58.686","Closed"
"GIGGLEUSDT","Cross","Long","88.14816381","97.95561800","708.37000000","708.37000000","6947.30629928","2025-11-04 18:10:46.676","2025-11-05 04:07:22.311","Closed"
"HYPEUSDT","Cross","Long","39.57040964","38.84700000","0.83000000","0.83000000","-0.60043000","2025-11-04 15:16:34.648","2025-11-05 00:34:49.852","Closed"
"ETHUSDT","Cross","Long","3545.50000000","3261.25333300","0.07200000","0.07200000","-20.46576000","2025-11-04 15:16:03.461","2025-11-05 00:34:48.491","Closed"
